,location,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,is_asia,is_europe,is_africa,is_north_america,is_south_america,is_oceania
40,Congo,4190.371,0.0,65.582,0.0,0.09663325914780067,0.026412310482749383,41.63854389875043,11.0,23.132904371220867,51.85,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.300000000000004,1.0151986371928243,64.57,0.574,0.0,0.0,1.0,0.0,0.0,0.0
41,Costa Rica,139185.5986666667,879.0855,1483.4771666666668,2.1405,2.436166666666667,0.4148333333333334,2.4,42.79723030589519,31.60086468354005,50.0,96.079,33.6,9.468000000000002,5.694,15524.995,1.3,137.97299999999998,8.78,6.3999999999999995,17.400000000000002,1.13,80.27999999999999,0.8100000000000002,0.0,0.0,0.0,1.0,0.0,0.0
42,Cote d'Ivoire,2987.8371666666667,1.2445,29.034499999999998,0.0061666666666666675,0.073,0.022383333333333335,45.78333333333334,20.0,10.0,21.3,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,1.8781043345482258,27.0931315268187,2.224177324147275,57.779999999999994,0.5379999999999999,0.0,0.0,1.0,0.0,0.0,0.0
43,Croatia,236698.02883333332,1903.3526666666667,3433.205333333334,12.658333333333331,3.7108333333333334,0.49685,2.0166666666666666,56.28333333333333,54.153333333333336,37.96,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7000000000000001,253.782,5.59,34.300000000000004,39.9,5.54,78.49,0.851,0.0,1.0,0.0,0.0,0.0,0.0
44,Cuba,92780.90149999999,129.15116666666665,744.2606666666667,0.5891666666666667,2.300626666321683,0.41044204459270256,4.645108827191386,93.47000000000001,86.94666666666667,29.63,110.408,43.1,14.738,9.719,27100.747493780622,0.7757061224605113,190.968,8.269999999999998,17.099999999999998,53.300000000000004,5.2,78.8,0.7829999999999999,0.0,0.0,0.0,1.0,0.0,0.0
45,Cyprus,298082.786,3141.3515,824.4001666666667,2.2319999999999998,119.15166666666666,0.02608333333333333,38.36666666666667,64.8069113475782,71.07333333333334,38.88999999999999,127.65700000000002,37.300000000000004,13.415999999999999,8.563,32415.132,0.5726236230016832,141.17100000000002,9.24,19.599999999999998,52.699999999999996,3.4,80.98,0.8870000000000001,0.0,1.0,0.0,0.0,0.0,0.0
46,Czechia,293939.61683333333,3436.3048333333336,3482.2121666666667,3.7296666666666667,13.644333333333334,0.24250000000000002,4.133333333333333,64.64499999999998,63.415,41.67000000000001,137.17600000000002,43.300000000000004,19.027,11.58,32605.906000000006,0.5171491964921646,227.48500000000004,6.82,30.5,38.300000000000004,6.63,79.38,0.9,0.0,1.0,0.0,0.0,0.0,0.0
47,Democratic Republic of Congo,925.4166666666669,0.23633333333333337,13.834000000000001,0.0,0.03206935716326896,0.029154367721596994,48.2495944332427,0.48,0.27,33.32999999999999,35.879,17.0,3.02,1.7450000000000003,808.1329999999999,77.10000000000001,318.949,6.1000000000000005,3.3165279355447552,24.428617994514802,0.5300510637437603,60.68,0.48,0.0,0.0,1.0,0.0,0.0,0.0
48,Denmark,327265.0666666667,7467.729166666667,657.773,3.6121666666666665,27.287999999999997,0.26868333333333333,3.733333333333333,83.05333333333333,82.11166666666666,16.67,136.52,42.300000000000004,19.676999999999996,12.325000000000001,46682.51500000001,0.19999999999999998,114.76700000000001,6.409999999999999,19.3,18.8,2.5,80.89999999999999,0.9399999999999998,0.0,1.0,0.0,0.0,0.0,0.0
49,Djibouti,15460.366999999998,7.6496666666666675,188.58599999999998,0.0,0.7963818333248339,0.0406897331421614,80.71765419113642,13.11,9.12,49.07,41.285,25.400000000000002,4.213,2.3799999999999994,2705.4059999999995,22.5,258.03700000000003,6.05,1.7,24.5,1.4000000000000001,67.11,0.524,0.0,0.0,1.0,0.0,0.0,0.0
50,Dominican Republic,51088.94266666666,112.10799999999999,394.1431666666667,0.27399999999999997,0.5963333333333333,0.21246666666666666,4.8500000000000005,63.98666666666667,53.06666666666666,37.96,222.87300000000002,27.599999999999998,6.981000000000001,4.419,14600.861000000003,1.5999999999999999,266.653,8.200000000000001,8.5,19.099999999999998,1.5999999999999999,74.08,0.7559999999999999,0.0,0.0,0.0,1.0,0.0,0.0
51,Ecuador,42248.983,345.76250000000005,1938.6041666666667,1.9191666666666665,0.549,0.623,1.5999999999999999,82.03499999999998,74.60000000000001,60.65,66.93899999999998,28.099999999999998,7.104,4.457999999999999,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.299999999999999,1.5,77.01,0.759,0.0,0.0,0.0,0.0,1.0,0.0
